AggressionTestID,ID,ColourID,ID_Series,SiteID,NestID,Year2,Year,Sex,NestStage,RawMinDis,MinDis,Date,TravelMode,NestApproach,Observer,NestVisibleDistance,NumberAdultsPresent,NumberOfEggs,NumberOfChicks,ClutchSize,JulianLay,JulianHatch,LayDate,HatchDate,NumberHatched,Fledged,NumberFledged,JulianTestDay
94,92H,92H,92HMale2018,75,75,0,2018,Male,2Incubating,3,597,7/6/2018,Quad,Above,Erik,2,2,3,0,4,157,193,6/6/2018,7/12/2018,2,1,1,187
218,38A,38A,38AMale2018,77,77,0,2018,Male,3Provisioning,3,597,8/15/2018,Quad,Above,Erik,2,2,0,1,3,166,198,6/15/2018,7/17/2018,3,1,1,227
348,244Male,,88Male2019,88,244,1,2019,Male,2Incubating,3,597,7/5/2019,Quad,Below,Nick,2,2,3,0,4,,,,,,0,0,186
373,244Male,,88Male2019,88,244,1,2019,Male,2Incubating,3,597,7/13/2019,Quad,Below,Erik,3,2,3,0,4,,,,,,0,0,194
406,251Female,,95Female2019,95,251,1,2019,Female,3Provisioning,3,597,7/21/2019,Quad,Side,Nick,2,2,0,3,3,,200,,7/19/2019,3,0,0,202
323,304Male,,151Male2019,151,304,1,2019,Male,1Laying,3,597,6/17/2019,Snowmobile,Below,Silu,3,2,2,0,3,166,200,6/15/2019,7/19/2018,3,1,2,168
253,44H,44H,44HMale2019,1,157,1,2019,Male,1Laying,4,596,6/15/2019,Quad,Above,Erik,2,2,3,0,3,162,198,6/11/2019,7/17/2019,1,0,0,166
260,46K,46K,46KFemale2019,19,175,1,2019,Female,1Laying,4,596,6/18/2019,Snowmobile,Below,Rebekah,2,2,3,0,3,,,,,0,0,0,169
396,25K,25K,25KFemale2019,52,208,1,2019,Female,3Provisioning,4,596,7/18/2019,Boat,Below,Nick,2,2,1,3,4,,198,,7/17/2019,3,0,0,199
316,253Male,,97Male2019,97,253,1,2019,Male,2Incubating,4,596,6/17/2019,Snowmobile,Below,Erik,3,2,4,0,4,,,,,0,0,0,168
399,304Male,,151Male2019,151,304,1,2019,Male,2Incubating,4,596,7/18/2019,Boat,Below,Nick,2,2,3,0,3,166,200,6/15/2019,7/19/2018,3,1,2,199
443,304Male,,151Male2019,151,304,1,2019,Male,3Provisioning,4,596,7/29/2019,Quad,Below,Erik,4,2,0,3,3,166,200,6/15/2019,7/19/2018,3,1,2,210
69,1Male,,1Male2018,1,1,0,2018,Male,2Incubating,5,595,6/25/2018,Quad,Side,Kevin,2,2,2,0,2,160,199,6/9/2018,7/18/2018,2,1,2,176
68,39E,39E,39EFemale2018,1,1,0,2018,Female,2Incubating,5,595,6/25/2018,Quad,Side,Silu,2,2,2,0,2,160,199,6/9/2018,7/18/2018,2,1,2,176
333,44H,44H,44HMale2019,1,157,1,2019,Male,1Laying,5,595,6/28/2019,Quad,Above,Rebekah,2,2,3,0,3,162,198,6/11/2019,7/17/2019,1,0,0,179
440,157Female,,1Female2019,1,157,1,2019,Female,3Provisioning,5,595,7/26/2019,Boat,Above,Erik,1,1,0,1,3,162,198,6/11/2019,7/17/2019,1,0,0,207
